CREATOR	87	FOOD FOR THOUGHT 313
  8093	2026-04-20	😮You won’t believe what they finally admitted..tarot reading ￼
  8220	2024-08-21	Realizing they should’ve treated you better..if only they knew then, what they know now
  8184	2024-08-07	Shameless &#038; losing grip on reality…they’re trying to control you by doing this…tarot reading ￼
CREATOR	91	Astraea 5D
  8226	2024-08-22	Made a big mistake, lost control, reckless actions, blocked their own good fortune
  8166	2024-07-29	Someone who abandoned you feels abandoned &#038; is being stalked by copycat
  8144	2024-07-21	This King of Swords rx is trying to fly under the radar, caused so much damage for their own greed
  8104	2024-06-18	What&#8217;s yours is yours and they shouldn&#8217;t have tried to steal it or prosper at your expense
CREATOR	90	POSHRANDY55
  8102	2026-04-20	Taking ctrl and giving their match the flowers they deserve for dissecting this psycho $3X cult 🤡😵‍💫
CREATOR	88	AllseeingisisOracle
  8096	2026-04-20	Severe consequences for the crimes they committed and tried to cover up
CREATOR	89	MADAMEBUTTERFLY444
  8095	2024-01-16	THEY MADE A PROMISE TO UNALIVE YOU OR LEAVE YOU HOMELESS &#038; SOMEONE IS WATCHING THEM
